index,userId,genre,avg
0,1,Documentary,0.0
1,1,Horror,3.0
2,1,Musical,3.0
3,1,Animation,2.0
4,1,Thriller,2.8333333333333335
5,1,Romance,3.5
6,1,IMAX,0.0
7,1,Sci-Fi,2.4
8,1,Action,2.8
9,1,Comedy,2.0
10,1,Children,2.5
11,1,Western,3.0
12,1,Drama,2.5714285714285716
13,1,War,2.0
14,1,Fantasy,2.125
15,1,Adventure,2.1666666666666665
16,1,Mystery,0.0
17,1,Crime,2.5
18,1,(no genres listed),0.0
19,1,Film-Noir,0.0
20,2,Documentary,0.0
21,2,Horror,3.5
22,2,Musical,3.75
23,2,Animation,3.6666666666666665
24,2,Thriller,3.3333333333333335
25,2,Romance,3.590909090909091
26,2,IMAX,4.0
27,2,Sci-Fi,3.8
28,2,Action,3.3157894736842106
29,2,Comedy,3.09375
30,2,Children,3.5
31,2,Western,5.0
32,2,Drama,3.6153846153846154
33,2,War,3.8
34,2,Fantasy,3.4
35,2,Adventure,3.75
36,2,Mystery,4.0
37,2,Crime,3.6666666666666665
38,2,(no genres listed),0.0
39,2,Film-Noir,0.0
40,3,Documentary,3.6666666666666665
41,3,Horror,3.375
42,3,Musical,2.5
43,3,Animation,2.875
44,3,Thriller,3.5454545454545454
45,3,Romance,3.65
46,3,IMAX,2.875
47,3,Sci-Fi,3.142857142857143
48,3,Action,3.46875
49,3,Comedy,3.611111111111111
50,3,Children,2.7
51,3,Western,4.0
52,3,Drama,3.92
53,3,War,4.166666666666667
54,3,Fantasy,3.0
55,3,Adventure,3.3
56,3,Mystery,3.75
57,3,Crime,3.7
58,3,(no genres listed),0.0
59,3,Film-Noir,0.0
60,4,Documentary,4.0
61,4,Horror,3.9444444444444446
62,4,Musical,4.833333333333333
63,4,Animation,4.708333333333333
64,4,Thriller,4.0227272727272725
65,4,Romance,4.5
66,4,IMAX,5.0
67,4,Sci-Fi,4.255813953488372
68,4,Action,4.274193548387097
69,4,Comedy,4.329545454545454
70,4,Children,4.634146341463414
71,4,Western,3.0
72,4,Drama,4.464285714285714
73,4,War,4.75
74,4,Fantasy,4.5675675675675675
75,4,Adventure,4.338709677419355
76,4,Mystery,4.090909090909091
77,4,Crime,4.157894736842105
78,4,(no genres listed),0.0
79,4,Film-Noir,5.0
80,5,Documentary,3.6666666666666665
81,5,Horror,3.875
82,5,Musical,4.25
83,5,Animation,3.9
84,5,Thriller,3.625
85,5,Romance,4.081081081081081
86,5,IMAX,4.0
87,5,Sci-Fi,4.0
88,5,Action,4.0
89,5,Comedy,3.981818181818182
90,5,Children,3.892857142857143
91,5,Western,0.0
92,5,Drama,3.8076923076923075
93,5,War,4.0
94,5,Fantasy,3.75
95,5,Adventure,3.825
96,5,Mystery,3.3333333333333335
97,5,Crime,3.45
98,5,(no genres listed),0.0
99,5,Film-Noir,0.0
100,6,Documentary,0.0
101,6,Horror,3.3333333333333335
102,6,Musical,3.0
103,6,Animation,3.5
104,6,Thriller,2.7222222222222223
105,6,Romance,2.9
106,6,IMAX,3.75
107,6,Sci-Fi,2.75
108,6,Action,3.2666666666666666
109,6,Comedy,2.90625
110,6,Children,3.2
111,6,Western,0.0
112,6,Drama,3.55
113,6,War,4.166666666666667
114,6,Fantasy,3.6875
115,6,Adventure,3.7333333333333334
116,6,Mystery,2.8333333333333335
117,6,Crime,3.5
118,6,(no genres listed),0.0
119,6,Film-Noir,0.0
120,7,Documentary,0.0
121,7,Horror,2.5
122,7,Musical,3.5
123,7,Animation,4.083333333333333
124,7,Thriller,3.0
125,7,Romance,2.933333333333333
126,7,IMAX,3.0
127,7,Sci-Fi,3.36
128,7,Action,3.2857142857142856
129,7,Comedy,3.5405405405405403
130,7,Children,3.7857142857142856
131,7,Western,2.5
132,7,Drama,3.5172413793103448
133,7,War,3.6
134,7,Fantasy,3.3076923076923075
135,7,Adventure,3.65625
136,7,Mystery,2.5
137,7,Crime,3.6363636363636362
138,7,(no genres listed),0.0
139,7,Film-Noir,0.0
140,8,Documentary,3.0
141,8,Horror,3.857142857142857
142,8,Musical,3.5
143,8,Animation,3.5
144,8,Thriller,4.075757575757576
145,8,Romance,3.717391304347826
146,8,IMAX,4.0
147,8,Sci-Fi,4.038461538461538
148,8,Action,3.967741935483871
149,8,Comedy,3.796875
150,8,Children,3.5
151,8,Western,0.0
152,8,Drama,3.7672413793103448
153,8,War,4.083333333333333
154,8,Fantasy,3.5
155,8,Adventure,3.8636363636363638
156,8,Mystery,4.3076923076923075
157,8,Crime,4.2
158,8,(no genres listed),0.0
159,8,Film-Noir,3.5
160,9,Documentary,0.0
161,9,Horror,4.0
162,9,Musical,4.0
163,9,Animation,3.3333333333333335
164,9,Thriller,3.6
165,9,Romance,3.875
166,9,IMAX,0.0
167,9,Sci-Fi,4.25
168,9,Action,3.25
169,9,Comedy,3.7142857142857144
170,9,Children,3.0
171,9,Western,0.0
172,9,Drama,4.0
173,9,War,3.6666666666666665
174,9,Fantasy,3.6
175,9,Adventure,3.1666666666666665
176,9,Mystery,3.5
177,9,Crime,3.888888888888889
178,9,(no genres listed),0.0
179,9,Film-Noir,0.0
180,10,Documentary,0.0
181,10,Horror,3.4285714285714284
182,10,Musical,3.0
183,10,Animation,0.0
184,10,Thriller,3.5
185,10,Romance,3.857142857142857
186,10,IMAX,0.0
187,10,Sci-Fi,3.875
188,10,Action,3.6666666666666665
189,10,Comedy,3.5833333333333335
190,10,Children,0.0
191,10,Western,2.0
192,10,Drama,4.066666666666666
193,10,War,4.0
194,10,Fantasy,4.5
195,10,Adventure,3.923076923076923
196,10,Mystery,3.75
197,10,Crime,3.5714285714285716
198,10,(no genres listed),0.0
199,10,Film-Noir,0.0
200,11,Documentary,3.9166666666666665
201,11,Horror,2.0
202,11,Musical,0.0
203,11,Animation,0.0
204,11,Thriller,4.033333333333333
205,11,Romance,4.5
206,11,IMAX,4.416666666666667
207,11,Sci-Fi,4.625
208,11,Action,4.1923076923076925
209,11,Comedy,3.7
210,11,Children,3.5
211,11,Western,5.0
212,11,Drama,4.131578947368421
213,11,War,4.5
214,11,Fantasy,4.0
215,11,Adventure,4.2727272727272725
216,11,Mystery,4.4
217,11,Crime,4.291666666666667
218,11,(no genres listed),0.0
219,11,Film-Noir,4.0
220,12,Documentary,5.0
221,12,Horror,3.75
222,12,Musical,2.6666666666666665
223,12,Animation,1.5
224,12,Thriller,3.5
225,12,Romance,2.888888888888889
226,12,IMAX,0.0
227,12,Sci-Fi,2.6153846153846154
228,12,Action,3.2142857142857144
229,12,Comedy,2.7142857142857144
230,12,Children,1.4
231,12,Western,2.5
232,12,Drama,2.76
233,12,War,0.0
234,12,Fantasy,2.0
235,12,Adventure,2.6
236,12,Mystery,3.3333333333333335
237,12,Crime,3.25
238,12,(no genres listed),0.0
239,12,Film-Noir,0.0
240,13,Documentary,0.0
241,13,Horror,3.0
242,13,Musical,3.6666666666666665
243,13,Animation,4.0
244,13,Thriller,3.25
245,13,Romance,3.9
246,13,IMAX,4.1
247,13,Sci-Fi,3.5833333333333335
248,13,Action,3.75
249,13,Comedy,3.5681818181818183
250,13,Children,3.8846153846153846
251,13,Western,3.1666666666666665
252,13,Drama,3.9642857142857144
253,13,War,4.4
254,13,Fantasy,3.8181818181818183
255,13,Adventure,3.85
256,13,Mystery,3.625
257,13,Crime,3.9375
258,13,(no genres listed),0.0
259,13,Film-Noir,0.0
260,14,Documentary,0.0
261,14,Horror,0.0
262,14,Musical,2.0
263,14,Animation,2.8
264,14,Thriller,3.0
265,14,Romance,3.0
266,14,IMAX,0.0
267,14,Sci-Fi,3.4285714285714284
268,14,Action,2.857142857142857
269,14,Comedy,3.0
270,14,Children,2.75
271,14,Western,0.0
272,14,Drama,2.0
273,14,War,0.0
